#pi_inter=pi pi_intra=pa nb_ra=nb_intra nb_er=nb_inter
#ID   	#subsets 	#subsets w/rec	dist     	Pi_i/Pi_a	Pi_inter	Pi_intra	#inter	#intra	pval
0    	20   	20   	0.015700	0.015700	0.000000	0.000000	0	1	1.000000e+00
1    	19   	19   	0.016725	1.065306	0.016725	0.015700	1	1	1.000000e+00
2    	18   	18   	0.016888	1.041669	0.016888	0.016213	2	1	1.000000e+00
3    	17   	17   	0.023449	1.426558	0.023449	0.016438	3	1	1.000000e+00
4    	16   	16   	0.025539	1.427514	0.025967	0.018191	4	2	9.401198e-01
5    	15   	15   	0.026736	1.662103	0.034543	0.020783	6	6	9.900200e-01
6    	14   	14   	0.027359	1.147699	0.031749	0.027663	12	2	8.842315e-01
7    	13   	13   	0.033755	1.401288	0.039582	0.028247	14	5	1.000000e+00
8    	12   	12   	0.038638	1.260412	0.039362	0.031230	19	3	9.720559e-01
9    	11   	11   	0.041150	1.390588	0.044970	0.032339	22	4	9.840319e-01
10   	10   	10   	0.050843	2.067300	0.070871	0.034282	26	30	9.960080e-01
11   	9    	9    	0.052227	1.674276	0.090216	0.053883	56	22	9.900200e-01
12   	8    	8    	0.058444	1.564331	0.100322	0.064131	78	13	9.900200e-01
13   	7    	7    	0.061351	1.163054	0.080601	0.069301	91	14	9.980040e-01
14   	6    	6    	0.071009	1.352935	0.095798	0.070808	105	15	9.920160e-01
15   	5    	5    	0.129594	1.752884	0.129594	0.073932	120	1	1.000000e+00
16   	4    	4    	0.133089	3.450071	0.256656	0.074392	121	16	6.107784e-01
17   	3    	3    	0.172798	2.641744	0.252757	0.095678	137	34	8.343313e-01
18   	2    	2    	0.175336	2.725596	0.345906	0.126910	171	19	8.243513e-01
