Sample	posterior	treeLikelihood	birthDeath	clockRate
0	-26652.535233646384	-26578.19337238617	-74.34186126021584	0.001
50000	-13729.462487323237	-13647.841670399102	-81.62081692413406	0.0035100859581905274
100000	-13732.370247751702	-13641.346391409406	-91.02385634229613	0.0012894795565016716
150000	-13734.737511634072	-13640.966658883131	-93.77085275093944	0.0010565589825336835
200000	-13745.6109496319	-13648.578086937538	-97.03286269436282	8.446395233423892E-4
250000	-13734.642919557144	-13640.980699493752	-93.66222006339284	0.0010411692076210863
300000	-13741.895841232921	-13644.915130771127	-96.98071046179304	8.617850266594272E-4
350000	-13729.852837329337	-13642.828129810654	-87.02470751868304	0.0018200527539336865
400000	-13733.69089740839	-13641.65417887317	-92.03671853522052	0.001208241004702635
450000	-13737.81521902663	-13642.764356035505	-95.05086299112614	9.416365834397066E-4
500000	-13736.595159815191	-13645.806072966065	-90.78908684912611	0.0012580424062493413
550000	-13738.851806334547	-13645.270038444954	-93.58176788959291	0.0010999528076028838
600000	-13740.850022152907	-13640.925621320388	-99.9244008325191	7.264070398384217E-4
650000	-13747.159841685643	-13651.97336091051	-95.18648077513396	9.548975977010836E-4
700000	-13742.51485644066	-13644.56197955233	-97.95287688832966	8.01366201726046E-4
750000	-13746.511486500012	-13644.57968737181	-101.93179912820246	6.894090170916055E-4
800000	-13736.495723263033	-13646.182784018314	-90.31293924471822	0.0013305110659747313
850000	-13750.127143309031	-13648.056934743738	-102.07020856529304	6.801102691970769E-4
900000	-13729.39840831794	-13640.234768885599	-89.16363943234148	0.0014594296250355098
950000	-13742.339105075	-13644.335853393131	-98.00325168186808	8.317632166410061E-4
1000000	-13740.739308615606	-13645.184946600275	-95.55436201533114	9.767962274637428E-4
1050000	-13732.649043652982	-13643.310339248348	-89.33870440463325	0.001466104323028302
1100000	-13733.575962479199	-13641.221840162258	-92.35412231694153	0.001151261799998098
1150000	-13734.98831453682	-13640.898551952565	-94.08976258425487	0.0010513307737293751
1200000	-13741.403092226967	-13644.253458016521	-97.14963421044476	8.953947637250964E-4
1250000	-13731.769652371706	-13641.446672621907	-90.32297974979846	0.0013490708523793613
1300000	-13741.038333448469	-13637.911311072761	-103.12702237570741	6.393091058923755E-4
1350000	-13734.746098032978	-13637.559910472202	-97.18618756077495	8.810193504270027E-4
1400000	-13738.275732685584	-13645.781900611193	-92.49383207439134	0.0012168355073181925
1450000	-13735.510116908674	-13645.052043117244	-90.45807379143018	0.0013091116715998503
1500000	-13743.73672881318	-13641.456868005134	-102.27986080804658	6.432888961690453E-4
1550000	-13740.793284382331	-13638.997260530865	-101.79602385146522	6.97686832113213E-4
1600000	-13741.75722563549	-13642.252449189966	-99.50477644552504	7.774503706714864E-4
1650000	-13743.359802559027	-13640.567218971828	-102.79258358719864	6.372119349876679E-4
1700000	-13732.555813416106	-13643.302214713016	-89.25359870308928	0.001440708432290214
1750000	-13741.005889350043	-13643.385536036585	-97.62035331345689	8.666524000839682E-4
1800000	-13734.678872718774	-13641.882376303718	-92.7964964150568	0.001111610323768797
1850000	-13744.273932870377	-13646.33101956091	-97.94291330946736	8.337465557467785E-4
1900000	-13735.035009415014	-13644.458566937205	-90.57644247780992	0.0013142500278513728
1950000	-13732.246746829876	-13641.479033930209	-90.7677128996671	0.0013244103981409586
2000000	-13755.786303832365	-13643.51617193188	-112.2701319004838	4.3869252335188984E-4
2050000	-13744.523153350474	-13640.33979014508	-104.18336320539328	6.061059166437843E-4
2100000	-13737.18028762771	-13641.54238239168	-95.63790523603062	9.74793324761351E-4
2150000	-13745.368713342927	-13646.348799803274	-99.01991353965164	7.572536415678508E-4
2200000	-13740.1485944479	-13641.827190880309	-98.32140356759255	8.212956448676621E-4
2250000	-13750.614259591026	-13650.388857817996	-100.22540177303081	7.236865544238188E-4
2300000	-13742.424412222128	-13644.834184650932	-97.59022757119517	8.601840517910335E-4
2350000	-13734.755173191275	-13639.861582420162	-94.89359077111287	0.0010062159466106885
2400000	-13743.213781848155	-13641.281014488273	-101.93276735988165	7.05591267714091E-4
2450000	-13733.789907310591	-13638.026459843099	-95.7634474674917	9.44960161643962E-4
2500000	-13741.170599798417	-13641.548865119496	-99.62173467892192	7.397683789827933E-4
2550000	-13738.632867924427	-13644.594536193472	-94.03833173095595	9.99531352078264E-4
2600000	-13746.490484075714	-13643.067535100188	-103.42294897552617	6.29659746558738E-4
2650000	-13748.525792387112	-13657.663107168722	-90.86268521838912	0.001288150911530252
2700000	-13748.39121283832	-13647.733873397623	-100.65733944069682	7.009344684403648E-4
2750000	-13734.922090651933	-13641.376700303206	-93.54539034872656	0.0010668580947239405
2800000	-13746.39625585231	-13640.538049163359	-105.85820668895211	5.672613424825018E-4
2850000	-13737.002390396528	-13637.296642064886	-99.70574833164262	7.675991191734919E-4
2900000	-13738.487010960815	-13643.833606278107	-94.65340468270766	0.0010179580908792215
2950000	-13737.451064295064	-13643.040970167962	-94.41009412710328	0.0010100967307575767
3000000	-13733.427275448059	-13647.439391837985	-85.98788361007458	0.002109048312925898
3050000	-13737.722394361246	-13641.724123455277	-95.99827090596997	9.337984232268212E-4
3100000	-13744.532037728655	-13645.500245057141	-99.03179267151344	7.973969870635318E-4
3150000	-13730.840810565896	-13644.360027290175	-86.48078327572102	0.0017682842772812736
3200000	-13750.506835477747	-13646.105555398472	-104.40128007927458	6.171359561460121E-4
3250000	-13744.109137599962	-13645.014475448039	-99.09466215192252	7.662235076453313E-4
3300000	-13748.976777488511	-13648.433194212541	-100.54358327596947	7.264127379640103E-4
3350000	-13748.104968298794	-13643.707617252616	-104.39735104617921	5.688513084505738E-4
3400000	-13740.433334292253	-13646.144334471646	-94.28899982060649	0.0010059404676763292
3450000	-13741.765670181523	-13643.698783186019	-98.06688699550426	8.304900125951306E-4
3500000	-13741.336518727758	-13640.09634341108	-101.24017531667695	6.994141151811549E-4
3550000	-13750.99338808252	-13646.340164685516	-104.6532233970036	5.8697161580952E-4
3600000	-13731.138330902084	-13639.086167206156	-92.05216369592763	0.0012420328356113211
3650000	-13746.2263746897	-13641.308628887164	-104.91774580253747	6.096476732995322E-4
